0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	2	2	3	6	2	2	2	2	2	6	2	2	4	4	3	2	5	4	2	2	15	2	4	5	4	2	2	7	3	11	2	3	2	4	2	2	6	3	3	2	2	2	2	2	2	2	6	2	6	2	3	3	5	2	4	4	6	6	2	4	4	2	4	2	2	2	3	2	2	6	2	5	2	4	5	3	2	2	2	4	6	3	3	2	7	2	2	2	2	2	6	2	5	6	10	2	5	2	2	3	2	2	4	2	2	2	4	2	6	2	4	8	2	2	7	2	2	2	4	2	3	11	2	4	2	8	3	2	2	2	2	3	7	4	2	4	2	2	10	2	2	4	3	2	2	2	2	7	8	15	3	4	6	3	6	5	10	4	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	12	3	2	7	4	3	4	8	2	2	2	11	3	2	4	3	5	2	8	3	6	8	2	2	2	3	2	2	2	2	6	2	4	4	2	4	3	2	4	2	2	2	6	3	6	8	3	3	3	2	2	4	2	10	3	4	2	25	2	2	2	8	2	3	6	2	2	2	11	4	4	2	8	2	2	2	5	2	7	2	2	4	4	2	2	7	2	2	2	4	2	5	5	2	2	2	2	2	10	4	2	7	6	7	2	5	2	2	2	4	4	2	2	4	6	2	3	2	9	4	3	6	5	2	
0.08	5	2	8	2	2	2	4	2	2	2	4	2	2	11	2	2	2	2	6	2	6	2	4	2	8	2	3	2	6	2	2	2	2	2	4	2	3	8	2	7	2	2	2	20	2	5	2	2	4	2	2	4	2	2	6	8	2	4	2	2	2	12	5	4	2	4	2	6	6	4	2	7	2	2	3	2	2	2	2	2	8	7	3	4	2	4	2	5	2	5	4	2	7	3	2	4	4	10	2	3	2	14	5	2	4	8	3	4	2	6	2	2	2	2	2	3	6	2	4	2	2	2	2	2	4	2	4	2	3	7	2	5	4	2	10	4	2	4	3	2	2	2	2	8	2	2	2	2	2	4	2	3	2	3	2	4	5	11	2	2	12	2	2	4	6	2	4	6	6	5	2	4	2	5	2	3	2	3	2	6	2	2	7	2	2	4	2	4	2	2	3	2	2	2	2	2	5	8	8	2	9	2	4	8	2	10	3	15	2	5	5	6	2	23	2	4	2	2	4	3	4	3	2	7	5	2	2	2	7	2	2	2	2	3	2	2	2	2	2	2	2	2	2	10	2	5	2	5	8	2	5	8	2	2	2	2	3	12	7	4	4	2	7	5	2	8	6	2	4	6	2	3	2	2	2	2	10	8	3	2	8	4	2	5	5	3	3	9	5	5	2	2	2	4	2	2	2	8	12	3	
0.12	6	2	3	2	4	2	4	3	9	8	2	2	2	2	2	7	2	2	3	4	2	2	4	2	2	11	2	3	2	6	2	5	4	2	2	5	8	4	3	4	3	5	2	4	4	2	4	2	4	2	11	6	4	3	2	3	2	3	2	2	4	4	7	4	2	7	5	4	2	3	2	4	2	7	2	6	2	3	2	5	2	8	5	3	2	3	2	2	6	2	2	2	2	6	5	2	4	7	2	6	4	10	2	2	2	2	6	2	3	2	2	4	5	4	2	2	2	2	4	4	5	2	4	9	2	2	2	2	2	6	2	2	2	14	5	2	10	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	4	4	2	3	4	8	4	4	9	4	8	4	7	4	2	6	2	6	7	2	7	2	2	4	2	3	2	2	2	3	2	2	6	2	2	2	2	2	3	3	3	2	4	2	2	2	4	2	9	2	3	4	2	3	2	2	2	2	12	2	2	2	3	3	5	2	7	2	4	3	2	2	4	2	2	2	6	2	4	7	6	7	3	6	2	2	2	2	8	2	2	2	2	2	2	2	5	2	2	4	12	2	2	3	11	2	3	2	2	2	8	7	5	2	4	4	2	7	4	2	3	2	5	3	4	2	2	8	2	2	5	5	5	7	2	2	4	2	3	2	8	2	4	2	4	
0.16	4	2	4	8	2	2	2	4	2	3	2	6	2	2	2	2	4	2	6	6	2	10	4	2	3	4	2	6	4	2	2	4	2	2	2	2	2	4	2	4	3	2	2	4	2	3	2	4	3	3	4	2	8	2	2	2	2	4	2	3	3	4	2	2	3	6	2	6	4	5	6	7	4	2	2	10	6	2	2	3	2	4	4	2	2	2	2	4	4	2	2	4	2	6	4	4	2	3	2	3	2	4	4	2	2	2	3	2	2	2	2	8	3	6	2	3	6	7	2	2	2	4	2	4	6	4	4	4	6	4	2	4	2	4	8	2	2	2	5	4	4	2	3	3	2	8	5	3	2	4	2	2	2	2	4	4	6	2	3	4	2	4	6	2	3	4	3	2	2	7	6	3	2	7	3	2	4	4	5	4	2	2	2	2	2	2	3	2	2	6	3	4	2	4	2	2	2	2	2	2	8	2	2	4	5	2	2	2	2	2	4	6	2	8	11	4	2	4	4	3	2	2	2	2	6	4	2	2	2	2	4	2	2	4	13	6	3	2	2	4	2	2	2	4	2	3	4	2	2	4	2	2	2	4	6	2	2	2	2	2	8	2	6	3	3	2	4	2	3	2	4	2	3	4	4	2	4	2	4	4	4	4	4	2	4	10	2	3	2	4	4	5	5	2	2	2	2	2	3	2	
0.2	2	4	2	6	2	2	3	2	3	3	3	2	2	3	4	2	4	3	4	3	3	4	2	2	2	5	4	2	2	4	4	4	3	4	6	2	2	2	4	2	2	2	5	2	5	2	2	5	3	4	2	4	4	4	5	4	2	4	6	4	3	6	2	2	3	4	2	3	3	3	2	2	2	4	4	2	6	2	4	2	3	3	2	2	2	4	4	4	4	6	4	3	2	5	4	2	2	3	3	3	2	2	7	2	2	4	3	5	3	3	4	2	3	2	3	4	6	3	3	3	2	3	6	3	4	2	4	3	2	3	3	2	2	2	4	9	3	3	2	2	2	2	2	2	3	2	3	3	4	6	3	3	4	2	5	6	3	4	2	5	3	3	5	8	3	3	2	2	6	3	2	3	4	3	3	5	2	3	4	8	2	4	2	2	2	3	6	3	3	2	3	4	4	3	2	6	2	6	10	3	3	4	3	3	2	2	6	2	4	2	2	4	4	3	6	6	2	4	4	3	2	4	6	2	2	4	2	3	2	2	3	5	3	3	4	6	5	6	3	3	3	4	2	3	2	3	2	5	4	2	4	2	4	2	3	5	2	3	3	4	3	4	2	5	4	4	2	2	2	3	2	2	8	3	5	4	4	3	3	6	4	3	3	2	4	2	2	2	4	2	2	2	4	3	4	3	4	3	2	4	
0.24	3	5	2	3	2	3	3	2	2	3	3	2	7	3	3	5	2	3	5	2	3	2	4	2	2	3	4	2	2	3	2	4	2	2	3	3	4	2	3	3	4	3	2	3	3	4	4	3	3	3	2	2	6	3	6	3	2	3	2	4	3	2	3	2	2	5	2	3	3	3	2	3	3	6	4	3	2	2	2	3	4	3	2	4	3	4	2	3	2	4	5	3	3	2	3	3	2	2	7	3	4	5	3	2	2	3	2	4	2	4	4	3	2	2	3	2	3	2	7	4	2	3	4	2	2	3	4	2	2	3	2	3	4	3	2	3	2	2	7	3	2	2	3	3	2	3	5	4	2	4	2	2	3	4	3	5	4	8	2	3	3	5	2	3	2	3	2	4	2	2	2	3	2	2	3	2	2	4	3	3	3	4	4	3	2	2	3	3	3	4	2	3	2	5	3	5	3	3	3	2	3	2	2	2	4	5	3	4	4	3	2	3	4	3	4	2	5	5	2	2	3	2	2	3	2	2	3	2	4	2	6	6	3	4	2	2	3	2	2	2	3	3	3	2	2	3	4	3	2	4	4	2	6	2	3	4	2	2	2	2	4	2	2	4	4	5	5	2	2	3	3	3	4	3	3	4	3	4	3	3	5	2	4	3	3	3	4	4	2	2	3	3	4	4	3	4	4	3	3	3	
0.28	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
0.32	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
0.36	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
