0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.01	7	11	23	5	12	11	6	8	9	4	3	37	35	10	4	4	8	19	10	31	10	17	13	14	3	33	40	26	6	58	4	34	17	6	24	11	31	33	4	5	14	45	5	17	17	9	23	7	4	12	76	25	6	6	34	9	4	17	4	5	9	15	17	13	5	7	4	5	22	4	31	3	12	19	10	5	12	4	5	4	7	3	9	29	6	19	49	43	47	6	8	15	9	12	23	9	7	15	6	4	
0.02	6	8	5	5	6	18	11	7	16	18	17	7	39	4	8	7	19	19	17	29	4	12	18	26	37	15	23	25	10	17	12	5	7	8	43	8	41	5	6	9	11	31	12	20	16	7	8	47	14	6	8	22	25	44	39	12	25	7	9	8	25	7	25	6	4	31	21	18	8	15	35	20	8	15	33	12	17	9	23	18	8	14	34	7	15	11	37	36	20	38	13	27	25	7	17	23	10	8	18	9	
0.03	8	8	7	50	7	16	17	63	10	3	14	10	15	26	7	14	99	5	40	12	13	66	39	8	6	59	14	6	10	7	9	24	11	36	10	10	13	3	8	15	52	4	42	44	47	5	6	5	9	14	12	4	17	8	25	5	35	16	15	31	15	20	40	51	9	46	43	11	5	28	12	71	5	34	10	7	10	12	14	77	31	17	27	21	25	8	30	5	30	18	25	4	19	21	13	21	26	17	6	8	
0.04	21	15	19	18	10	23	26	10	13	16	20	7	52	26	12	19	16	18	39	7	15	11	19	24	20	29	14	7	20	21	11	21	14	10	13	11	20	23	22	10	26	31	22	46	8	47	39	10	18	24	34	19	64	21	14	12	51	11	54	16	26	23	14	34	37	86	20	46	17	25	12	11	9	23	31	7	34	53	10	6	40	15	14	12	28	15	23	41	15	23	35	20	5	30	11	13	16	29	41	36	
0.05	30	30	12	48	23	25	87	31	18	11	9	25	34	13	29	18	24	29	27	46	10	56	22	25	35	16	33	34	36	7	20	21	37	6	41	15	23	20	6	11	42	19	25	27	19	24	26	32	6	19	30	45	16	8	18	21	14	10	18	31	20	16	16	43	9	15	10	27	13	10	9	35	32	52	48	19	11	7	57	12	15	26	26	14	14	43	14	11	21	32	56	9	26	40	16	14	17	25	43	13	
0.06	19	35	9	20	8	10	13	33	10	21	48	23	6	11	11	17	11	16	17	10	39	10	24	11	13	22	10	20	26	28	18	11	18	9	46	9	25	21	19	25	20	8	17	14	14	26	58	11	9	48	28	19	21	12	6	4	16	25	21	32	12	13	30	5	15	35	16	15	7	13	26	35	38	19	5	29	24	10	28	18	19	6	6	9	16	24	39	22	21	13	13	44	45	15	15	35	33	22	15	15	
0.07	5	7	5	4	9	29	23	28	32	23	25	15	6	21	23	18	16	11	7	27	10	5	14	10	11	20	21	13	10	15	9	24	28	5	35	24	17	21	38	13	12	20	4	13	17	9	10	25	29	19	5	11	3	10	12	17	10	7	49	23	7	12	22	10	17	11	19	6	7	7	10	7	11	3	44	25	20	6	37	13	6	16	9	10	5	20	6	38	27	19	9	6	11	4	20	5	23	9	32	12	
0.08	9	16	5	17	7	12	8	11	8	9	6	10	29	11	6	7	6	9	5	5	8	8	19	7	7	22	20	7	8	12	6	7	11	5	24	15	9	9	3	14	11	5	15	7	8	7	12	7	7	3	9	45	8	4	4	8	7	17	7	3	8	16	9	9	19	5	4	18	11	20	34	10	7	7	10	7	12	5	21	14	7	3	11	25	4	12	17	17	4	13	7	11	7	3	6	13	8	4	9	7	
0.09	10	17	6	8	6	8	8	14	17	13	12	19	25	12	14	9	29	11	17	5	10	13	4	5	8	7	5	17	7	9	9	5	5	13	12	10	6	7	25	11	20	5	20	16	5	6	13	11	17	11	6	7	6	11	14	13	13	12	10	8	6	13	6	10	11	3	9	14	13	11	15	17	8	6	5	18	5	12	19	31	5	6	29	10	10	6	7	7	23	9	19	13	10	15	8	5	9	17	34	14	
